Data opsamlet af Aarhus Universitet. Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>. NOx: Kvælstofoxider µg/m<sup>3</sup>. O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;CO;NO2;SO2;NOx;
06-03-2022 12:30:00;0.23;13.5;0.67;19.95;Data er manuelt kontrolleret
06-03-2022 12:00:00;0.26;18.46;0.67;34.2;Data er manuelt kontrolleret
06-03-2022 11:30:00;0.21;15.95;0.59;24.35;Data er manuelt kontrolleret
06-03-2022 11:00:00;0.23;24.46;0.64;38.17;Data er manuelt kontrolleret
06-03-2022 10:30:00;0.21;15.99;0.53;25.15;Data er manuelt kontrolleret
06-03-2022 10:00:00;0.26;28.08;0.75;51.71;Data er manuelt kontrolleret
06-03-2022 09:30:00;0.21;14.67;0.37;20.96;Data er manuelt kontrolleret
06-03-2022 09:00:00;0.21;14.11;0.45;20.85;Data er manuelt kontrolleret
06-03-2022 08:30:00;0.22;16.64;0.53;23.18;Data er manuelt kontrolleret
06-03-2022 08:00:00;0.21;13.37;0.53;17.65;Data er manuelt kontrolleret
06-03-2022 07:30:00;0.2;14.06;0.37;16.98;Data er manuelt kontrolleret
06-03-2022 07:00:00;0.22;16.91;0.35;21.25;Data er manuelt kontrolleret
06-03-2022 06:30:00;0.29;33.53;0.64;54.47;Data er manuelt kontrolleret
06-03-2022 06:00:00;0.21;16.14;0.29;19.7;Data er manuelt kontrolleret
06-03-2022 05:30:00;0.2;10.42;0.21;12.18;Data er manuelt kontrolleret
06-03-2022 04:30:00;0.19;6.54;0.24;7.99;Data er manuelt kontrolleret
06-03-2022 04:00:00;0.21;6.33;0.05;6.69;Data er manuelt kontrolleret
06-03-2022 03:30:00;0.2;7.04;0.08;6.92;Data er manuelt kontrolleret
06-03-2022 03:00:00;0.21;6.37;0.16;6.16;Data er manuelt kontrolleret
06-03-2022 02:30:00;0.2;6.06;0.13;6.1;Data er manuelt kontrolleret
06-03-2022 02:00:00;0.2;6.33;0.03;6.96;Data er manuelt kontrolleret
06-03-2022 01:30:00;0.22;9.01;0.08;10.67;Data er manuelt kontrolleret
06-03-2022 01:00:00;0.22;8.47;0.03;9.31;Data er manuelt kontrolleret
06-03-2022 00:30:00;0.22;11.57;0.13;14.38;Data er manuelt kontrolleret
06-03-2022 00:00:00;0.21;9.62;0.03;11.57;Data er manuelt kontrolleret
05-03-2022 23:30:00;0.22;11.21;0.08;13.31;Data er manuelt kontrolleret
05-03-2022 23:00:00;0.24;11.21;0.13;14.15;Data er manuelt kontrolleret
05-03-2022 22:30:00;0.22;10.96;0.05;13.1;Data er manuelt kontrolleret
05-03-2022 22:00:00;0.24;13.14;0.05;16.14;Data er manuelt kontrolleret
05-03-2022 21:30:00;0.24;15.74;0.05;19.81;Data er manuelt kontrolleret
05-03-2022 21:00:00;0.42;52.8;0.98;105.07;Data er manuelt kontrolleret
05-03-2022 20:30:00;0.29;23.75;0.51;31.96;Data er manuelt kontrolleret
05-03-2022 20:00:00;0.31;29.28;0.51;40.39;Data er manuelt kontrolleret
05-03-2022 19:30:00;0.38;31.31;0.56;44.85;Data er manuelt kontrolleret
05-03-2022 19:00:00;0.45;45.69;0.93;72.31;Data er manuelt kontrolleret
05-03-2022 18:30:00;0.31;23.47;0.27;28.17;Data er manuelt kontrolleret
05-03-2022 18:00:00;0.27;20.98;0.19;26.93;Data er manuelt kontrolleret
05-03-2022 17:30:00;0.3;23.85;0.05;30.7;Data er manuelt kontrolleret
05-03-2022 17:00:00;0.34;23.98;0.35;38.9;Data er manuelt kontrolleret
05-03-2022 16:30:00;0.28;24.44;0.51;37.75;Data er manuelt kontrolleret
05-03-2022 16:00:00;0.24;14.36;0.32;20.33;Data er manuelt kontrolleret
05-03-2022 15:30:00;0.3;24.94;0.51;39.93;Data er manuelt kontrolleret
05-03-2022 15:00:00;0.35;29.3;0.88;54.51;Data er manuelt kontrolleret
05-03-2022 14:30:00;0.28;25.7;0.53;49.8;Data er manuelt kontrolleret
05-03-2022 14:00:00;0.3;19.72;0.53;33.99;Data er manuelt kontrolleret
05-03-2022 13:30:00;0.24;17.77;0.35;26.89;Data er manuelt kontrolleret
05-03-2022 13:00:00;0.27;21.25;0.67;37.18;Data er manuelt kontrolleret
05-03-2022 12:30:00;0.24;25.23;0.69;43.6;Data er manuelt kontrolleret
05-03-2022 12:00:00;0.21;18.93;0.45;28.67;Data er manuelt kontrolleret
05-03-2022 11:30:00;0.26;23.81;0.61;40.49;Data er manuelt kontrolleret
05-03-2022 11:00:00;0.22;22.82;0.56;36.38;Data er manuelt kontrolleret
05-03-2022 10:30:00;0.22;19.07;0.59;30.77;Data er manuelt kontrolleret
05-03-2022 10:00:00;0.23;24.1;0.64;42.86;Data er manuelt kontrolleret
05-03-2022 09:30:00;0.24;30.7;0.51;46.99;Data er manuelt kontrolleret
05-03-2022 09:00:00;0.28;44.01;0.98;84.36;Data er manuelt kontrolleret
05-03-2022 08:30:00;0.42;62.27;1.22;120.26;Data er manuelt kontrolleret
05-03-2022 08:00:00;0.29;41.92;1.01;87.82;Data er manuelt kontrolleret
05-03-2022 07:30:00;0.27;48.1;0.88;86.06;Data er manuelt kontrolleret
05-03-2022 07:00:00;0.26;46.84;0.61;75.66;Data er manuelt kontrolleret
05-03-2022 06:30:00;0.27;40.76;0.51;63.07;Data er manuelt kontrolleret
05-03-2022 06:00:00;0.22;32.38;0.29;44.24;Data er manuelt kontrolleret
05-03-2022 05:30:00;0.22;20.56;0.21;27.71;Data er manuelt kontrolleret
05-03-2022 05:00:00;0.2;16.79;0.27;26.16;Data er manuelt kontrolleret
05-03-2022 04:30:00;0.2;16.24;0.21;19.53;Data er manuelt kontrolleret
05-03-2022 03:30:00;0.22;17.23;0.05;23.24;Data er manuelt kontrolleret
05-03-2022 03:00:00;0.23;16.52;0.11;27.23;Data er manuelt kontrolleret
05-03-2022 02:30:00;0.3;23.52;0.59;45.67;Data er manuelt kontrolleret
05-03-2022 02:00:00;0.29;24.33;0.45;48.6;Data er manuelt kontrolleret
05-03-2022 01:30:00;0.26;17.73;0.13;24.75;Data er manuelt kontrolleret
05-03-2022 01:00:00;0.36;36.15;0.67;76.83;Data er manuelt kontrolleret
05-03-2022 00:30:00;0.33;37.73;0.82;86.83;Data er manuelt kontrolleret
05-03-2022 00:00:00;0.36;43.8;0.48;79.77;Data er manuelt kontrolleret
04-03-2022 23:30:00;0.35;52.92;0.9;108.52;Data er manuelt kontrolleret
04-03-2022 23:00:00;0.5;63.8;1.3;145.85;Data er manuelt kontrolleret
04-03-2022 22:30:00;0.45;55.33;0.88;100.33;Data er manuelt kontrolleret
04-03-2022 22:00:00;0.44;62.96;0.98;122.06;Data er manuelt kontrolleret
04-03-2022 21:30:00;0.51;47.64;0.61;88.09;Data er manuelt kontrolleret
04-03-2022 21:00:00;0.41;38.35;0.77;82.93;Data er manuelt kontrolleret
04-03-2022 20:30:00;0.37;33.24;0.43;64.28;Data er manuelt kontrolleret
04-03-2022 20:00:00;0.4;37.79;1.09;94;Data er manuelt kontrolleret
04-03-2022 19:30:00;0.37;24.54;0.32;59.77;Data er manuelt kontrolleret
04-03-2022 19:00:00;0.51;47.93;0.93;103.26;Data er manuelt kontrolleret
04-03-2022 18:30:00;0.43;39.67;0.72;85.13;Data er manuelt kontrolleret
04-03-2022 18:00:00;0.48;41.33;0.8;86.25;Data er manuelt kontrolleret
04-03-2022 17:30:00;0.48;51.01;0.85;103.29;Data er manuelt kontrolleret
04-03-2022 17:00:00;0.5;49.27;1.14;113.95;Data er manuelt kontrolleret
04-03-2022 16:30:00;0.41;44.06;0.98;108.21;Data er manuelt kontrolleret
04-03-2022 16:00:00;0.41;36.17;0.82;98.44;Data er manuelt kontrolleret
04-03-2022 15:30:00;0.43;35.04;0.9;86.98;Data er manuelt kontrolleret
04-03-2022 15:00:00;0.4;31.25;0.77;79.1;Data er manuelt kontrolleret
04-03-2022 14:30:00;0.43;18.4;1.38;95.76;Data er manuelt kontrolleret
04-03-2022 14:00:00;0.41;21.63;1.44;95.32;Data er manuelt kontrolleret
04-03-2022 13:30:00;0.34;31.52;1.09;76.67;Data er manuelt kontrolleret
04-03-2022 13:00:00;0.3;45.14;1.41;108.9;Data er manuelt kontrolleret
04-03-2022 12:30:00;0.3;34.02;1.09;80.46;Data er manuelt kontrolleret
04-03-2022 12:00:00;0.36;38.44;1.3;95.07;Data er manuelt kontrolleret
04-03-2022 11:30:00;0.33;41.77;1.14;94;Data er manuelt kontrolleret
04-03-2022 11:00:00;0.37;36.57;0.98;83.69;Data er manuelt kontrolleret
04-03-2022 10:30:00;0.34;53.84;1.33;131.83;Data er manuelt kontrolleret
04-03-2022 10:00:00;0.28;30.85;0.88;73.63;Data er manuelt kontrolleret
04-03-2022 09:30:00;0.33;43.09;1.14;97.14;Data er manuelt kontrolleret
04-03-2022 09:00:00;0.3;47.05;1.28;111.59;Data er manuelt kontrolleret
04-03-2022 08:30:00;0.31;55.14;1.89;146.98;Data er manuelt kontrolleret
04-03-2022 08:00:00;0.43;69.67;2.69;222.77;Data er manuelt kontrolleret
04-03-2022 07:30:00;0.62;90.04;3.88;305.43;Data er manuelt kontrolleret
04-03-2022 07:00:00;0.54;63.9;2.1;181.36;Data er manuelt kontrolleret
04-03-2022 06:30:00;0.43;58.71;1.44;143.23;Data er manuelt kontrolleret
04-03-2022 05:30:00;0.27;25.07;0.13;39.7;Data er manuelt kontrolleret
04-03-2022 05:00:00;0.26;20.12;0;28.96;Data er manuelt kontrolleret
04-03-2022 04:30:00;0.24;23.66;0;28.13;Data er manuelt kontrolleret
04-03-2022 04:00:00;0.24;16.98;0;21.63;Data er manuelt kontrolleret
04-03-2022 03:30:00;0.24;53.7;0.56;90.52;Data er manuelt kontrolleret
04-03-2022 03:00:00;0.34;27.67;0.08;31.61;Data er manuelt kontrolleret
04-03-2022 02:30:00;0.29;28.23;0;34.41;Data er manuelt kontrolleret
04-03-2022 02:00:00;0.29;49.29;0;63.8;Data er manuelt kontrolleret
04-03-2022 01:30:00;0.24;27.37;0;33.45;Data er manuelt kontrolleret
04-03-2022 01:00:00;0.29;24.48;0;29.38;Data er manuelt kontrolleret
04-03-2022 00:30:00;0.3;31.12;0.51;67.13;Data er manuelt kontrolleret
04-03-2022 00:00:00;0.34;48.9;0.16;73.46;Data er manuelt kontrolleret
03-03-2022 23:30:00;0.44;56.63;0.61;105.65;Data er manuelt kontrolleret
03-03-2022 23:00:00;0.48;62.29;0.93;125.84;Data er manuelt kontrolleret
03-03-2022 22:30:00;0.4;60.99;1.09;158.05;Data er manuelt kontrolleret
03-03-2022 22:00:00;0.52;57.59;0.93;131.16;Data er manuelt kontrolleret
03-03-2022 21:30:00;0.45;73.27;0.98;143.51;Data er manuelt kontrolleret
03-03-2022 21:00:00;0.62;81.82;1.17;164.17;Data er manuelt kontrolleret
03-03-2022 20:30:00;0.48;59.4;0.82;116.01;Data er manuelt kontrolleret
03-03-2022 20:00:00;0.47;70.72;2.69;212.67;Data er manuelt kontrolleret
03-03-2022 19:30:00;0.44;63.93;0.64;115.84;Data er manuelt kontrolleret
03-03-2022 19:00:00;0.45;39.03;1.49;145.29;Data er manuelt kontrolleret
03-03-2022 18:30:00;0.56;85.87;1.54;185.89;Data er manuelt kontrolleret
03-03-2022 18:00:00;0.63;63.53;1.25;140.43;Data er manuelt kontrolleret
03-03-2022 17:30:00;0.51;46.03;0.9;109.09;Data er manuelt kontrolleret
03-03-2022 17:00:00;0.56;59.57;1.36;145.24;Data er manuelt kontrolleret
03-03-2022 16:30:00;0.59;61.56;1.12;135.88;Data er manuelt kontrolleret
03-03-2022 16:00:00;0.62;69.62;2.26;184.56;Data er manuelt kontrolleret
03-03-2022 15:30:00;0.56;75.77;2.47;200.98;Data er manuelt kontrolleret
03-03-2022 15:00:00;0.61;57.45;1.86;155.18;Data er manuelt kontrolleret
03-03-2022 14:30:00;0.48;57.36;1.38;127.26;Data er manuelt kontrolleret
03-03-2022 14:00:00;0.43;70.34;2.53;206;Data er manuelt kontrolleret
03-03-2022 13:30:00;0.37;43.7;1.44;97.96;Data er manuelt kontrolleret
03-03-2022 13:00:00;0.51;61.45;2.69;149.39;Data er manuelt kontrolleret
03-03-2022 12:30:00;0.44;71.64;2.95;170.63;Data er manuelt kontrolleret
03-03-2022 12:00:00;0.41;53.24;2.24;132.5;Data er manuelt kontrolleret
03-03-2022 11:30:00;0.4;49.36;2.34;131.77;Data er manuelt kontrolleret
03-03-2022 11:00:00;0.41;64.99;3.35;178.26;Data er manuelt kontrolleret
03-03-2022 10:30:00;0.44;72.52;3.11;214.85;Data er manuelt kontrolleret
03-03-2022 10:00:00;0.43;75.33;2.74;222.58;Data er manuelt kontrolleret
03-03-2022 09:30:00;0.51;90.33;3.38;273.24;Data er manuelt kontrolleret
03-03-2022 09:00:00;0.54;77.57;3.78;283.62;Data er manuelt kontrolleret
03-03-2022 08:30:00;0.63;93.04;4.52;355;Data er manuelt kontrolleret
03-03-2022 08:00:00;0.75;75.12;5.06;372.9;Data er manuelt kontrolleret
03-03-2022 07:30:00;0.63;70.59;3.81;295.56;Data er manuelt kontrolleret
03-03-2022 07:00:00;0.4;62.77;2.18;179.24;Data er manuelt kontrolleret
03-03-2022 06:30:00;0.41;46.8;1.89;148.14;Data er manuelt kontrolleret
03-03-2022 06:00:00;0.24;27.79;0.61;56.36;Data er manuelt kontrolleret
03-03-2022 05:30:00;0.22;15.45;0.08;25.02;Data er manuelt kontrolleret
03-03-2022 04:30:00;0.2;7.04;0;7.5;Data er manuelt kontrolleret
03-03-2022 04:00:00;0.15;9.93;0.4;9.94;Data er manuelt kontrolleret
03-03-2022 03:30:00;0.16;5.57;0.51;5.28;Data er manuelt kontrolleret
03-03-2022 03:00:00;0.16;10.37;0.48;10.75;Data er manuelt kontrolleret
03-03-2022 02:30:00;0.15;15.89;0.43;17.29;Data er manuelt kontrolleret
03-03-2022 02:00:00;0.15;4.8;0.35;4.46;Data er manuelt kontrolleret
03-03-2022 01:30:00;0.16;7.11;0.35;7.04;Data er manuelt kontrolleret
03-03-2022 01:00:00;0.16;10.71;0.53;15.38;Data er manuelt kontrolleret
03-03-2022 00:30:00;0.24;22.8;1.09;70.72;Data er manuelt kontrolleret
03-03-2022 00:00:00;0.19;10.86;0.51;15.13;Data er manuelt kontrolleret
02-03-2022 23:30:00;0.24;14.63;0.77;30.08;Data er manuelt kontrolleret
02-03-2022 23:00:00;0.27;21.31;0.72;48.65;Data er manuelt kontrolleret
02-03-2022 22:30:00;0.2;23.68;0.35;39.67;Data er manuelt kontrolleret
02-03-2022 22:00:00;0.2;12.55;0.21;16.47;Data er manuelt kontrolleret
02-03-2022 21:30:00;0.21;14.88;0.16;18.7;Data er manuelt kontrolleret
02-03-2022 21:00:00;0.22;13.12;0.05;18.02;Data er manuelt kontrolleret
02-03-2022 20:30:00;0.24;17.73;0.24;29.57;Data er manuelt kontrolleret
02-03-2022 20:00:00;0.24;17.71;0.24;29.34;Data er manuelt kontrolleret
02-03-2022 19:30:00;0.24;14.71;0.11;19.72;Data er manuelt kontrolleret
02-03-2022 19:00:00;0.29;27.44;0.19;41.86;Data er manuelt kontrolleret
02-03-2022 18:30:00;0.3;18.61;0.16;24.98;Data er manuelt kontrolleret
02-03-2022 18:00:00;0.31;29.82;0.45;46.93;Data er manuelt kontrolleret
02-03-2022 17:30:00;0.3;22.19;0.35;30.73;Data er manuelt kontrolleret
02-03-2022 17:00:00;0.26;18.26;0.32;25.65;Data er manuelt kontrolleret
02-03-2022 16:30:00;0.28;30.49;0.35;43.74;Data er manuelt kontrolleret
02-03-2022 16:00:00;0.27;17.81;0.37;27.37;Data er manuelt kontrolleret
02-03-2022 15:30:00;0.26;18.21;0.37;29.4;Data er manuelt kontrolleret
02-03-2022 15:00:00;0.26;18.51;0.51;29.55;Data er manuelt kontrolleret
02-03-2022 14:30:00;0.26;22.49;0.64;38.44;Data er manuelt kontrolleret
02-03-2022 14:00:00;0.24;15.64;0.88;39.7;Data er manuelt kontrolleret
02-03-2022 13:30:00;0.23;8.99;0.56;14.21;Data er manuelt kontrolleret
02-03-2022 13:00:00;0.23;14.63;0.67;25.51;Data er manuelt kontrolleret
02-03-2022 12:30:00;0.21;13.98;0.61;23.29;Data er manuelt kontrolleret
02-03-2022 12:00:00;0.22;17.19;0.61;30.47;Data er manuelt kontrolleret
02-03-2022 11:30:00;0.22;19.41;0.67;32.46;Data er manuelt kontrolleret
02-03-2022 11:00:00;0.22;20.67;0.59;34.08;Data er manuelt kontrolleret
02-03-2022 10:30:00;0.22;21.69;0.37;36.82;Data er manuelt kontrolleret
02-03-2022 10:00:00;0.23;26.41;0.53;47.3;Data er manuelt kontrolleret
02-03-2022 09:30:00;0.22;21.02;0.53;34.6;Data er manuelt kontrolleret
02-03-2022 09:00:00;0.23;20.39;0.56;36.28;Data er manuelt kontrolleret
02-03-2022 08:30:00;0.27;28.3;0.48;46.44;Data er manuelt kontrolleret
02-03-2022 08:00:00;0.29;39.67;0.75;74.3;Data er manuelt kontrolleret
02-03-2022 07:30:00;0.22;31.69;0.61;53.88;Data er manuelt kontrolleret
02-03-2022 07:00:00;0.2;26.56;0.56;44.37;Data er manuelt kontrolleret
02-03-2022 06:30:00;0.2;28.36;0.67;49.67;Data er manuelt kontrolleret
02-03-2022 06:00:00;0.19;20.33;0.64;37.66;Data er manuelt kontrolleret
02-03-2022 05:30:00;0.17;14.84;0.48;22.89;Data er manuelt kontrolleret
02-03-2022 05:00:00;0.16;17.46;0.48;22.85;Data er manuelt kontrolleret
02-03-2022 04:30:00;0.15;13.54;0.35;18.97;Data er manuelt kontrolleret
02-03-2022 03:30:00;0.13;16.96;0;20.87;Data er manuelt kontrolleret
02-03-2022 03:00:00;0.15;28.53;0;36.76;Data er manuelt kontrolleret
02-03-2022 02:30:00;0.16;17;0;21.34;Data er manuelt kontrolleret
02-03-2022 02:00:00;0.16;10.69;0;11;Data er manuelt kontrolleret
02-03-2022 01:30:00;0.15;5.09;0;5.57;Data er manuelt kontrolleret
02-03-2022 01:00:00;0.16;7.86;0;11.32;Data er manuelt kontrolleret
02-03-2022 00:30:00;0.17;11.84;0.03;25.49;Data er manuelt kontrolleret
02-03-2022 00:00:00;0.19;20.67;0;24.15;Data er manuelt kontrolleret
01-03-2022 23:30:00;0.17;10.82;0;12.79;Data er manuelt kontrolleret
01-03-2022 23:00:00;0.21;19.85;0;24.42;Data er manuelt kontrolleret
01-03-2022 22:30:00;0.27;33.11;0.13;51.77;Data er manuelt kontrolleret
01-03-2022 22:00:00;0.28;26.16;0.03;43.66;Data er manuelt kontrolleret
01-03-2022 21:30:00;0.2;14.29;0;17.84;Data er manuelt kontrolleret
01-03-2022 21:00:00;0.21;15.03;0;19.09;Data er manuelt kontrolleret
01-03-2022 20:30:00;0.2;15.15;0.03;19.03;Data er manuelt kontrolleret
01-03-2022 20:00:00;0.23;23.49;0;27.12;Data er manuelt kontrolleret
01-03-2022 19:30:00;0.27;27.75;0;32.68;Data er manuelt kontrolleret
01-03-2022 19:00:00;0.26;28.09;0;36.03;Data er manuelt kontrolleret
01-03-2022 18:30:00;0.26;24.84;0;33.53;Data er manuelt kontrolleret
01-03-2022 18:00:00;0.26;25.99;0.11;32.38;Data er manuelt kontrolleret
01-03-2022 17:30:00;0.24;25.51;0.32;36.72;Data er manuelt kontrolleret
01-03-2022 17:00:00;0.26;26.07;0.43;37.41;Data er manuelt kontrolleret
01-03-2022 16:30:00;0.27;24.4;0.35;35.04;Data er manuelt kontrolleret
01-03-2022 16:00:00;0.24;19.35;0.35;28.67;Data er manuelt kontrolleret
01-03-2022 15:30:00;0.26;15.85;0.4;25.19;Data er manuelt kontrolleret
01-03-2022 15:00:00;0.3;16.89;0.59;28.4;Data er manuelt kontrolleret
01-03-2022 14:30:00;0.27;16.14;0.61;28.44;Data er manuelt kontrolleret
01-03-2022 14:00:00;0.26;19.91;0.72;35.95;Data er manuelt kontrolleret
01-03-2022 13:30:00;0.26;18.93;0.61;33.93;Data er manuelt kontrolleret
01-03-2022 13:00:00;0.24;19.39;0.45;32.95;Data er manuelt kontrolleret
01-03-2022 12:30:00;0.24;18.99;0.67;34.35;Data er manuelt kontrolleret
01-03-2022 12:00:00;0.27;21.44;0.72;40.18;Data er manuelt kontrolleret
01-03-2022 11:30:00;0.26;24.27;0.69;41.52;Data er manuelt kontrolleret
01-03-2022 11:00:00;0.24;32.24;0.98;61.41;Data er manuelt kontrolleret
01-03-2022 10:30:00;0.27;37.08;1.17;76.65;Data er manuelt kontrolleret
01-03-2022 10:00:00;0.28;37.06;1.25;76.17;Data er manuelt kontrolleret
01-03-2022 09:30:00;0.28;36.3;0.93;65.45;Data er manuelt kontrolleret
01-03-2022 09:00:00;0.36;46.86;1.41;100.83;Data er manuelt kontrolleret
01-03-2022 08:30:00;0.35;59.31;1.17;120.68;Data er manuelt kontrolleret
01-03-2022 08:00:00;0.35;46.03;1.14;105.72;Data er manuelt kontrolleret
01-03-2022 07:30:00;0.41;48;1.33;107.04;Data er manuelt kontrolleret
01-03-2022 07:00:00;0.35;39.07;1.04;80.63;Data er manuelt kontrolleret
01-03-2022 06:30:00;0.33;45.84;1.57;123.32;Data er manuelt kontrolleret
01-03-2022 05:30:00;0.26;22.53;0.56;36.72;Data er manuelt kontrolleret
01-03-2022 05:00:00;0.29;35.48;0.67;57.89;Data er manuelt kontrolleret
01-03-2022 04:30:00;0.35;22.66;0.51;46.55;Data er manuelt kontrolleret
01-03-2022 04:00:00;0.22;14.06;0.21;18.42;Data er manuelt kontrolleret
01-03-2022 03:30:00;0.22;9.51;0.21;12.34;Data er manuelt kontrolleret
01-03-2022 03:00:00;0.23;8.22;0.27;9.52;Data er manuelt kontrolleret
01-03-2022 02:30:00;0.22;7.08;0.19;8.3;Data er manuelt kontrolleret
01-03-2022 02:00:00;0.22;6.64;0.11;7.1;Data er manuelt kontrolleret
01-03-2022 01:30:00;0.23;7.46;0.19;8.32;Data er manuelt kontrolleret
01-03-2022 01:00:00;0.23;6.58;0.08;10.17;Data er manuelt kontrolleret
01-03-2022 00:30:00;0.24;12.24;0.03;17.21;Data er manuelt kontrolleret
01-03-2022 00:00:00;0.26;9.77;0.05;15.41;Data er manuelt kontrolleret
28-02-2022 23:30:00;0.29;14.27;0.08;30.85;Data er manuelt kontrolleret
28-02-2022 23:00:00;0.57;17.94;0.8;83.48;Data er manuelt kontrolleret
28-02-2022 22:30:00;0.31;20.67;0.03;35.86;Data er manuelt kontrolleret
28-02-2022 22:00:00;0.35;22.99;0.19;37.31;Data er manuelt kontrolleret
28-02-2022 21:30:00;0.42;35.53;0.75;89.14;Data er manuelt kontrolleret
28-02-2022 21:00:00;0.35;23.62;0.24;48.39;Data er manuelt kontrolleret
28-02-2022 20:30:00;0.37;24.35;0.16;52.65;Data er manuelt kontrolleret
