Data opsamlet af Aarhus Universitet, Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>, NOx: Kvælstofoxider µg/m<sup>3</sup>, O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;NOx;CO;SO2;PM_2.5_Lvs;NO2;comment
14-01-2021 16:00:00;183,47;0,4;0,2;;50,8;Data er manuelt kontrolleret
14-01-2021 15:30:00;227,84;0,49;0,29;;67,95;Data er manuelt kontrolleret
14-01-2021 15:00:00;197,71;0,42;0,35;;58,83;Data er manuelt kontrolleret
14-01-2021 14:30:00;196,91;0,42;0,35;;64,32;Data er manuelt kontrolleret
14-01-2021 14:00:00;182,03;0,44;0,12;;28,42;Data er manuelt kontrolleret
14-01-2021 13:30:00;176,81;0,38;0,09;;53,99;Data er manuelt kontrolleret
14-01-2021 13:00:00;138,2;0,35;0,09;;36,57;Data er manuelt kontrolleret
14-01-2021 12:30:00;132,96;0,33;-1,25;;43,3;Data er manuelt kontrolleret
14-01-2021 12:00:00;162,83;0,37;-1,02;;12,6;Data er manuelt kontrolleret
14-01-2021 11:30:00;106,24;0,31;-0,61;;38,25;Data er manuelt kontrolleret
14-01-2021 11:00:00;114,2;0,29;-0,38;;34,31;Data er manuelt kontrolleret
14-01-2021 10:30:00;135,41;0,4;0,32;;37,85;Data er manuelt kontrolleret
14-01-2021 10:00:00;162,93;0,33;0,46;;49,44;Data er manuelt kontrolleret
14-01-2021 09:30:00;132,96;0,38;0,09;;40,81;Data er manuelt kontrolleret
14-01-2021 09:00:00;126,55;0,33;-0,2;;41,41;Data er manuelt kontrolleret
14-01-2021 08:30:00;130,8;0,29;-0,09;;51,2;Data er manuelt kontrolleret
14-01-2021 08:00:00;123,99;0,35;-0,09;;36,91;Data er manuelt kontrolleret
14-01-2021 07:30:00;183,93;0,4;-0,06;;50,41;Data er manuelt kontrolleret
14-01-2021 07:00:00;132,77;0,34;0,12;;44,7;Data er manuelt kontrolleret
14-01-2021 06:30:00;128,67;0,37;0,12;;40,01;Data er manuelt kontrolleret
14-01-2021 06:00:00;106,95;0,33;0,15;;20,31;Data er manuelt kontrolleret
14-01-2021 05:30:00;72,85;0,27;-0,55;;32,9;Data er manuelt kontrolleret
14-01-2021 04:30:00;8,19;0,22;-0,93;;4,97;Data er manuelt kontrolleret
14-01-2021 04:00:00;6,88;0,2;-1,07;;4,49;Data er manuelt kontrolleret
14-01-2021 03:30:00;4,48;0,21;-0,93;;3,37;Data er manuelt kontrolleret
14-01-2021 03:00:00;2,14;0,21;-0,46;;1,76;Data er manuelt kontrolleret
14-01-2021 02:30:00;3,56;0,22;-0,61;;2,73;Data er manuelt kontrolleret
14-01-2021 02:00:00;4,04;0,23;-0,52;;2,81;Data er manuelt kontrolleret
14-01-2021 01:30:00;3,58;0,22;-0,61;;2,64;Data er manuelt kontrolleret
14-01-2021 01:00:00;3,77;0,22;-0,46;;2,41;Data er manuelt kontrolleret
14-01-2021 00:30:00;14,65;0,24;-0,61;;4,88;Data er manuelt kontrolleret
14-01-2021 00:00:00;4,28;0,24;-0,38;7,52;2,72;Data er manuelt kontrolleret
13-01-2021 23:30:00;18,25;0,26;-0,09;;7,94;Data er manuelt kontrolleret
13-01-2021 23:00:00;49,13;0,31;0,2;;13,64;Data er manuelt kontrolleret
13-01-2021 22:30:00;22,85;0,26;-0,29;;11,51;Data er manuelt kontrolleret
13-01-2021 22:00:00;29,17;0,31;-0,38;;11,19;Data er manuelt kontrolleret
13-01-2021 21:30:00;25,03;0,27;-0,7;;11,09;Data er manuelt kontrolleret
13-01-2021 21:00:00;49,65;0,3;-0,46;;19,62;Data er manuelt kontrolleret
13-01-2021 20:30:00;41,85;0,27;0,12;;12,2;Data er manuelt kontrolleret
13-01-2021 20:00:00;49,44;0,27;-0,2;;21,92;Data er manuelt kontrolleret
13-01-2021 19:30:00;27,92;0,23;-0,49;;11,69;Data er manuelt kontrolleret
13-01-2021 19:00:00;56,38;0,23;-0,41;;25,07;Data er manuelt kontrolleret
13-01-2021 18:30:00;49,09;0,22;-0,17;;19,62;Data er manuelt kontrolleret
13-01-2021 18:00:00;68,3;0,23;-0,38;;28,23;Data er manuelt kontrolleret
13-01-2021 17:30:00;84,97;0,26;0,12;;38,02;Data er manuelt kontrolleret
13-01-2021 17:00:00;111,25;0,27;-0,58;;42,15;Data er manuelt kontrolleret
13-01-2021 16:30:00;140,72;0,29;-0,61;;52,31;Data er manuelt kontrolleret
13-01-2021 16:00:00;187,2;0,33;0,17;;71,66;Data er manuelt kontrolleret
13-01-2021 15:30:00;156,37;0,33;-0,12;;54,3;Data er manuelt kontrolleret
13-01-2021 15:00:00;176,58;0,35;-0,03;;74,66;Data er manuelt kontrolleret
13-01-2021 14:30:00;191,44;0,34;0,58;;67,68;Data er manuelt kontrolleret
13-01-2021 14:00:00;160,61;0,29;0,58;;56,13;Data er manuelt kontrolleret
13-01-2021 13:30:00;161,13;0,28;0,58;;48,81;Data er manuelt kontrolleret
13-01-2021 13:00:00;142,9;0,33;0,26;;45,52;Data er manuelt kontrolleret
13-01-2021 12:30:00;112,7;0,24;0,29;;55,62;Data er manuelt kontrolleret
13-01-2021 12:00:00;102,17;0,24;0,67;;32,88;Data er manuelt kontrolleret
13-01-2021 11:30:00;88,32;0,27;0,26;;32,67;Data er manuelt kontrolleret
13-01-2021 11:00:00;105,34;0,24;0,23;;37,08;Data er manuelt kontrolleret
13-01-2021 10:30:00;138,22;0,26;0,29;;51,81;Data er manuelt kontrolleret
13-01-2021 10:00:00;122,95;0,24;0,17;;38,56;Data er manuelt kontrolleret
13-01-2021 09:30:00;98,74;0,26;-0,03;;38,02;Data er manuelt kontrolleret
13-01-2021 09:00:00;98,21;0,24;0,09;;22,03;Data er manuelt kontrolleret
13-01-2021 08:30:00;182,2;0,27;0,64;;64,01;Data er manuelt kontrolleret
13-01-2021 08:00:00;200,77;0,37;0,43;;57,36;Data er manuelt kontrolleret
13-01-2021 07:30:00;284,29;0,45;0,58;;88,36;Data er manuelt kontrolleret
13-01-2021 07:00:00;166,48;0,35;0,78;;55,77;Data er manuelt kontrolleret
13-01-2021 06:30:00;66,13;0,24;-0,03;;33,99;Data er manuelt kontrolleret
13-01-2021 06:00:00;22,55;0,2;-0,23;;13,41;Data er manuelt kontrolleret
13-01-2021 05:30:00;39,53;0,21;-0,14;;26,91;Data er manuelt kontrolleret
13-01-2021 05:00:00;44,87;0,22;-0,23;;31,35;Data er manuelt kontrolleret
13-01-2021 04:30:00;12,55;0,19;-0,38;;9,03;Data er manuelt kontrolleret
13-01-2021 03:30:00;1,63;0,19;0,17;;1,68;Data er manuelt kontrolleret
13-01-2021 03:00:00;0,34;0,17;0,29;;0,75;Data er manuelt kontrolleret
13-01-2021 02:30:00;0,99;0,17;0,38;;1,2;Data er manuelt kontrolleret
13-01-2021 02:00:00;0;0,17;0;;0,17;Data er manuelt kontrolleret
13-01-2021 01:30:00;0,86;0,16;0;;1,53;Data er manuelt kontrolleret
13-01-2021 01:00:00;0,27;0,16;-0,26;;0,82;Data er manuelt kontrolleret
13-01-2021 00:30:00;1,74;0,17;0;;1,45;Data er manuelt kontrolleret
13-01-2021 00:00:00;1,66;0,16;0;4,96;1,32;Data er manuelt kontrolleret
12-01-2021 23:30:00;5,2;0,17;-0,03;;3,56;Data er manuelt kontrolleret
12-01-2021 23:00:00;8,26;0,19;0,35;;5,05;Data er manuelt kontrolleret
12-01-2021 22:30:00;7,73;0,17;0,32;;4,26;Data er manuelt kontrolleret
12-01-2021 22:00:00;7,98;0,19;0,46;;5,53;Data er manuelt kontrolleret
12-01-2021 21:30:00;12,55;0,19;0,32;;8,68;Data er manuelt kontrolleret
12-01-2021 21:00:00;11,04;0,2;0,55;;6,9;Data er manuelt kontrolleret
12-01-2021 20:30:00;7,31;0,19;0,49;;5,22;Data er manuelt kontrolleret
12-01-2021 20:00:00;9,62;0,19;0,38;;6,06;Data er manuelt kontrolleret
12-01-2021 19:30:00;8,43;0,2;0,58;;5,79;Data er manuelt kontrolleret
12-01-2021 19:00:00;9,03;0,19;0,46;;6,08;Data er manuelt kontrolleret
12-01-2021 18:30:00;13,62;0,2;-0,09;;8,91;Data er manuelt kontrolleret
12-01-2021 18:00:00;16,96;0,2;-0,09;;11,44;Data er manuelt kontrolleret
12-01-2021 17:30:00;19,11;0,21;0,41;;12,81;Data er manuelt kontrolleret
12-01-2021 17:00:00;27,52;0,21;0,23;;16,29;Data er manuelt kontrolleret
12-01-2021 16:30:00;27,87;0,21;0,23;;16,43;Data er manuelt kontrolleret
12-01-2021 16:00:00;29,59;0,23;0,32;;17,46;Data er manuelt kontrolleret
12-01-2021 15:30:00;24,98;0,2;0,35;;14,61;Data er manuelt kontrolleret
12-01-2021 15:00:00;27,98;0,23;-0,38;;18,17;Data er manuelt kontrolleret
12-01-2021 14:30:00;22,78;0,22;-0,26;;13,18;Data er manuelt kontrolleret
12-01-2021 14:00:00;17,1;0,2;0,9;;10,84;Data er manuelt kontrolleret
12-01-2021 13:30:00;22,85;0,21;0,87;;13,75;Data er manuelt kontrolleret
12-01-2021 13:00:00;17,65;0,2;0,98;;11,09;Data er manuelt kontrolleret
12-01-2021 12:30:00;24,21;0,17;0,64;;13,75;Data er manuelt kontrolleret
12-01-2021 12:00:00;18,74;0,17;0,09;;12,22;Data er manuelt kontrolleret
12-01-2021 11:30:00;20,98;0,17;-0,32;;12,81;Data er manuelt kontrolleret
12-01-2021 11:00:00;15,97;0,17;0,09;;9,28;Data er manuelt kontrolleret
12-01-2021 10:30:00;21,27;0,17;0,4;;13,43;Data er manuelt kontrolleret
12-01-2021 10:00:00;20,9;0,17;0,4;;13,94;Data er manuelt kontrolleret
12-01-2021 09:30:00;20;0,19;0,17;;14,1;Data er manuelt kontrolleret
12-01-2021 09:00:00;23,56;0,17;0,29;;15,95;Data er manuelt kontrolleret
12-01-2021 08:30:00;21,29;0,17;-0,03;;14,36;Data er manuelt kontrolleret
12-01-2021 08:00:00;20,31;0,17;0,17;;13,98;Data er manuelt kontrolleret
12-01-2021 07:30:00;23,62;0,19;-0,09;;15,41;Data er manuelt kontrolleret
12-01-2021 07:00:00;14,02;0,16;0,26;;10,06;Data er manuelt kontrolleret
12-01-2021 06:30:00;12,51;0,16;0,2;;8,72;Data er manuelt kontrolleret
12-01-2021 05:30:00;11;0,15;0,17;;8,13;Data er manuelt kontrolleret
12-01-2021 05:00:00;4,07;0,14;0,17;;2,77;Data er manuelt kontrolleret
12-01-2021 04:30:00;4,23;0,14;-0,03;;3,48;Data er manuelt kontrolleret
12-01-2021 04:00:00;4,23;0,15;-0,72;;3,37;Data er manuelt kontrolleret
12-01-2021 03:30:00;3,23;0,15;-0,38;;2,75;Data er manuelt kontrolleret
12-01-2021 03:00:00;2,05;0,16;-0,14;;1,61;Data er manuelt kontrolleret
12-01-2021 02:30:00;2,64;0,17;-0,46;;1,82;Data er manuelt kontrolleret
12-01-2021 02:00:00;1,28;0,16;-0,58;;1,3;Data er manuelt kontrolleret
12-01-2021 01:30:00;1,72;0,16;-0,49;;1,26;Data er manuelt kontrolleret
12-01-2021 00:30:00;2,79;0,19;-0,75;;2,22;Data er manuelt kontrolleret
12-01-2021 00:00:00;2,68;0,17;-0,84;3,43;1,93;Data er manuelt kontrolleret
11-01-2021 23:30:00;4,34;0,2;0;;3,23;Data er manuelt kontrolleret
11-01-2021 23:00:00;9,75;0,2;-0,55;;7,27;Data er manuelt kontrolleret
11-01-2021 22:30:00;7,17;0,17;-0,84;;4,88;Data er manuelt kontrolleret
11-01-2021 22:00:00;5,62;0,2;-0,72;;3,52;Data er manuelt kontrolleret
11-01-2021 21:30:00;6,62;0,21;-0,61;;4,32;Data er manuelt kontrolleret
11-01-2021 21:00:00;6,92;0,21;-0,67;;4,63;Data er manuelt kontrolleret
11-01-2021 20:30:00;7,36;0,22;-0,38;;4,44;Data er manuelt kontrolleret
11-01-2021 20:00:00;7,32;0,23;-0,26;;4,74;Data er manuelt kontrolleret
11-01-2021 19:30:00;5,07;0,23;0;;3,12;Data er manuelt kontrolleret
11-01-2021 19:00:00;7,46;0,23;0,06;;4,44;Data er manuelt kontrolleret
11-01-2021 18:30:00;7,42;0,23;0,12;;4,55;Data er manuelt kontrolleret
11-01-2021 18:00:00;7,63;0,22;0,14;;4,8;Data er manuelt kontrolleret
11-01-2021 17:30:00;13,52;0,23;0;;7,46;Data er manuelt kontrolleret
11-01-2021 17:00:00;15,43;0,24;-1,16;;8,99;Data er manuelt kontrolleret
11-01-2021 16:30:00;17,38;0,24;-1,36;;10,02;Data er manuelt kontrolleret
11-01-2021 16:00:00;18,02;0,24;-0,03;;10,06;Data er manuelt kontrolleret
11-01-2021 15:30:00;25,8;0,26;-0,61;;14,29;Data er manuelt kontrolleret
11-01-2021 15:00:00;22,22;0,27;-0,72;;11,82;Data er manuelt kontrolleret
11-01-2021 14:30:00;20,79;0,23;-0,52;;11,02;Data er manuelt kontrolleret
11-01-2021 14:00:00;19,35;0,24;-0,58;;10;Data er manuelt kontrolleret
11-01-2021 13:30:00;14,67;0,22;-0,23;;8,11;Data er manuelt kontrolleret
11-01-2021 13:00:00;15,51;0,22;-0,32;;9,33;Data er manuelt kontrolleret
11-01-2021 12:30:00;16,28;0,23;-0,35;;8,89;Data er manuelt kontrolleret
11-01-2021 12:00:00;18,3;0,23;-0,2;;10,25;Data er manuelt kontrolleret
11-01-2021 11:30:00;16,81;0,23;-0,23;;9,26;Data er manuelt kontrolleret
11-01-2021 11:00:00;16,83;0,22;-0,12;;9,89;Data er manuelt kontrolleret
11-01-2021 10:30:00;24,86;0,22;-0,17;;13,9;Data er manuelt kontrolleret
11-01-2021 10:00:00;22,8;0,22;0,14;;13,04;Data er manuelt kontrolleret
11-01-2021 09:30:00;22,45;0,21;-0,17;;13,39;Data er manuelt kontrolleret
11-01-2021 09:00:00;42,57;0,23;-0,2;;22,82;Data er manuelt kontrolleret
11-01-2021 08:30:00;46,88;0,22;0,23;;25,32;Data er manuelt kontrolleret
11-01-2021 08:00:00;35,92;0,23;0,26;;20,88;Data er manuelt kontrolleret
11-01-2021 07:30:00;42,34;0,24;0,09;;23,24;Data er manuelt kontrolleret
11-01-2021 07:00:00;32,49;0,23;-0,17;;18,47;Data er manuelt kontrolleret
11-01-2021 06:30:00;36,26;0,22;0,17;;19,41;Data er manuelt kontrolleret
11-01-2021 06:00:00;30,58;0,2;0,32;;17,19;Data er manuelt kontrolleret
11-01-2021 05:30:00;11,91;0,16;0,35;;6,87;Data er manuelt kontrolleret
11-01-2021 04:30:00;6,31;0,15;-0,17;;4,44;Data er manuelt kontrolleret
11-01-2021 04:00:00;9,72;0,2;0,12;;7,25;Data er manuelt kontrolleret
11-01-2021 03:30:00;13,23;0,15;0,35;;7,02;Data er manuelt kontrolleret
11-01-2021 03:00:00;4,15;0,15;0;;2,75;Data er manuelt kontrolleret
11-01-2021 02:30:00;6,71;0,16;-0,43;;3,96;Data er manuelt kontrolleret
11-01-2021 02:00:00;4,9;0,15;-0,61;;3,73;Data er manuelt kontrolleret
11-01-2021 01:30:00;4,72;0,16;-0,38;;3,52;Data er manuelt kontrolleret
11-01-2021 01:00:00;4,88;0,16;-0,03;;3,4;Data er manuelt kontrolleret
11-01-2021 00:30:00;13,29;0,19;-0,43;;8,32;Data er manuelt kontrolleret
11-01-2021 00:00:00;6,45;0,17;-0,66;3,19;4,8;Data er manuelt kontrolleret
10-01-2021 23:30:00;11,74;0,19;-0,49;;7,69;Data er manuelt kontrolleret
10-01-2021 23:00:00;17,06;0,24;-0,55;;11,9;Data er manuelt kontrolleret
10-01-2021 22:30:00;34,44;0,26;-0,81;;18,57;Data er manuelt kontrolleret
10-01-2021 22:00:00;32,4;0,23;-1,04;;21,23;Data er manuelt kontrolleret
10-01-2021 21:30:00;37,94;0,24;-1,13;;21,19;Data er manuelt kontrolleret
10-01-2021 21:00:00;29,49;0,23;-0,75;;17,02;Data er manuelt kontrolleret
10-01-2021 20:30:00;19,58;0,21;-1,07;;13,37;Data er manuelt kontrolleret
10-01-2021 20:00:00;19,32;0,2;-1,18;;12,14;Data er manuelt kontrolleret
10-01-2021 19:30:00;17,33;0,2;-0,84;;11,9;Data er manuelt kontrolleret
10-01-2021 19:00:00;22,82;0,22;-0,95;;15,41;Data er manuelt kontrolleret
10-01-2021 18:30:00;17,29;0,23;-0,95;;11,69;Data er manuelt kontrolleret
10-01-2021 18:00:00;15,32;0,23;-1,1;;10,25;Data er manuelt kontrolleret
10-01-2021 17:30:00;14;0,22;-1,13;;9,6;Data er manuelt kontrolleret
10-01-2021 17:00:00;16,22;0,23;-0,92;;11,21;Data er manuelt kontrolleret
10-01-2021 16:30:00;19,09;0,22;-0,75;;12,37;Data er manuelt kontrolleret
10-01-2021 16:00:00;19,68;0,23;-0,84;;14,04;Data er manuelt kontrolleret
10-01-2021 15:30:00;23,7;0,23;-0,92;;16,29;Data er manuelt kontrolleret
10-01-2021 15:00:00;24,65;0,23;-1,1;;16,52;Data er manuelt kontrolleret
10-01-2021 14:30:00;19,55;0,22;-0,84;;12,45;Data er manuelt kontrolleret
10-01-2021 14:00:00;13,39;0,2;-0,23;;8,13;Data er manuelt kontrolleret
10-01-2021 13:30:00;13,02;0,2;-0,17;;8,34;Data er manuelt kontrolleret
10-01-2021 13:00:00;13,85;0,21;-0,38;;8,49;Data er manuelt kontrolleret
10-01-2021 12:30:00;10,63;0,2;-0,29;;6,87;Data er manuelt kontrolleret
10-01-2021 12:00:00;14,69;0,2;-0,4;;8,66;Data er manuelt kontrolleret
10-01-2021 11:30:00;12,16;0,19;-0,52;;7,94;Data er manuelt kontrolleret
10-01-2021 11:00:00;14,84;0,19;-0,84;;9,28;Data er manuelt kontrolleret
10-01-2021 10:30:00;9,43;0,17;-0,81;;6,58;Data er manuelt kontrolleret
10-01-2021 10:00:00;9,24;0,19;-0,81;;6,2;Data er manuelt kontrolleret
10-01-2021 09:30:00;6,35;0,17;-1,01;;4,23;Data er manuelt kontrolleret
10-01-2021 09:00:00;8,03;0,19;-2,63;;5,79;Data er manuelt kontrolleret
10-01-2021 08:30:00;8,15;0,19;-2,63;;6,1;Data er manuelt kontrolleret
10-01-2021 08:00:00;8,87;0,2;-1,04;;6,16;Data er manuelt kontrolleret
10-01-2021 07:30:00;7,82;0,2;-1,01;;5,05;Data er manuelt kontrolleret
10-01-2021 07:00:00;4,99;0,2;-0,06;;3,4;Data er manuelt kontrolleret
10-01-2021 06:30:00;5,62;0,2;0,06;;3,6;Data er manuelt kontrolleret
10-01-2021 06:00:00;3,67;0,2;-0,14;;2,85;Data er manuelt kontrolleret
10-01-2021 05:30:00;4,74;0,21;-0,09;;3,14;Data er manuelt kontrolleret
10-01-2021 05:00:00;3,16;0,21;-0,17;;2,51;Data er manuelt kontrolleret
10-01-2021 04:30:00;4,74;0,22;-0,55;;3,14;Data er manuelt kontrolleret
10-01-2021 03:30:00;4,17;0,26;-0,52;;3,14;Data er manuelt kontrolleret
10-01-2021 03:00:00;4,53;0,26;-0,23;;3,81;Data er manuelt kontrolleret
10-01-2021 02:30:00;13,73;0,27;-0,52;;6,92;Data er manuelt kontrolleret
10-01-2021 02:00:00;10,92;0,29;-0,52;;7,32;Data er manuelt kontrolleret
10-01-2021 01:30:00;12,95;0,27;-0,61;;7,57;Data er manuelt kontrolleret
10-01-2021 01:00:00;9,91;0,28;-0,52;;6,02;Data er manuelt kontrolleret
10-01-2021 00:30:00;15,07;0,28;-1,53;;8,53;Data er manuelt kontrolleret
10-01-2021 00:00:00;12,79;0,28;-1,47;5,36;7,69;Data er manuelt kontrolleret
09-01-2021 23:30:00;28,59;0,31;-0,84;;12,93;Data er manuelt kontrolleret
09-01-2021 23:00:00;29,59;0,35;-0,86;;14,86;Data er manuelt kontrolleret
09-01-2021 22:30:00;26,11;0,31;-0,84;;12,89;Data er manuelt kontrolleret
09-01-2021 22:00:00;54,14;0,33;-1,12;;22,78;Data er manuelt kontrolleret
09-01-2021 21:30:00;27,14;0,3;-1,18;;13,41;Data er manuelt kontrolleret
09-01-2021 21:00:00;34,33;0,31;-1,12;;15,8;Data er manuelt kontrolleret
09-01-2021 20:30:00;18,3;0,26;-1,15;;9,14;Data er manuelt kontrolleret
09-01-2021 20:00:00;24,23;0,29;-1,5;;12,68;Data er manuelt kontrolleret
09-01-2021 19:30:00;34,33;0,31;-0,78;;17,42;Data er manuelt kontrolleret
09-01-2021 19:00:00;38,65;0,3;-0,95;;18,44;Data er manuelt kontrolleret
09-01-2021 18:30:00;41,31;0,34;-1,21;;19,89;Data er manuelt kontrolleret
09-01-2021 18:00:00;68,49;0,43;-1,15;;28,92;Data er manuelt kontrolleret
09-01-2021 17:30:00;39,74;0,37;-0,95;;12,26;Data er manuelt kontrolleret
09-01-2021 17:00:00;21,57;0,31;-0,95;;12,68;Data er manuelt kontrolleret
09-01-2021 16:30:00;33,12;0,35;-0,98;;16,64;Data er manuelt kontrolleret
09-01-2021 16:00:00;37,1;0,35;-0,81;;18,65;Data er manuelt kontrolleret
09-01-2021 15:30:00;51,48;0,37;-0,72;;25,26;Data er manuelt kontrolleret
09-01-2021 15:00:00;49,15;0,38;-0,75;;22,28;Data er manuelt kontrolleret
09-01-2021 14:30:00;44,6;0,35;-0,66;;19,72;Data er manuelt kontrolleret
09-01-2021 14:00:00;26,22;0,29;-0,86;;13,23;Data er manuelt kontrolleret
09-01-2021 13:30:00;27,94;0,3;-0,75;;13,58;Data er manuelt kontrolleret
09-01-2021 13:00:00;39,19;0,34;-0,37;;17,79;Data er manuelt kontrolleret
09-01-2021 12:30:00;41,81;0,37;-0,35;;17,75;Data er manuelt kontrolleret
09-01-2021 12:00:00;68,83;0,38;-0,61;;23,56;Data er manuelt kontrolleret
09-01-2021 11:30:00;89,68;0,45;-0,66;;26,93;Data er manuelt kontrolleret
09-01-2021 11:00:00;65,41;0,33;-0,63;;25,47;Data er manuelt kontrolleret
09-01-2021 10:30:00;59,98;0,33;-0,89;;21,11;Data er manuelt kontrolleret
09-01-2021 10:00:00;53,03;0,35;-1,01;;21,52;Data er manuelt kontrolleret
09-01-2021 09:30:00;28,59;0,31;-1,15;;14,59;Data er manuelt kontrolleret
09-01-2021 09:00:00;28,13;0,27;-1,53;;13,41;Data er manuelt kontrolleret
09-01-2021 08:30:00;44,83;0,33;-0,84;;15,78;Data er manuelt kontrolleret
09-01-2021 08:00:00;31,65;0,28;-0,66;;13,37;Data er manuelt kontrolleret
09-01-2021 07:30:00;20,39;0,28;-0,63;;11,84;Data er manuelt kontrolleret
09-01-2021 07:00:00;24,48;0,29;-0,58;;10,58;Data er manuelt kontrolleret
09-01-2021 06:30:00;31;0,28;-0,75;;12,79;Data er manuelt kontrolleret
09-01-2021 05:30:00;12,6;0,24;-0,98;;7,92;Data er manuelt kontrolleret
09-01-2021 05:00:00;10,23;0,23;-1,09;;6,37;Data er manuelt kontrolleret
09-01-2021 04:30:00;16,81;0,26;-1,12;;8,11;Data er manuelt kontrolleret
09-01-2021 04:00:00;49,8;0,26;-1,01;;27,54;Data er manuelt kontrolleret
09-01-2021 03:30:00;25,95;0,23;-0,69;;16,33;Data er manuelt kontrolleret
09-01-2021 03:00:00;11,99;0,26;-1,01;;6,9;Data er manuelt kontrolleret
09-01-2021 02:30:00;17,69;0,22;-1,38;;8,51;Data er manuelt kontrolleret
09-01-2021 02:00:00;26,22;0,24;-0,86;;12,64;Data er manuelt kontrolleret
09-01-2021 01:30:00;35,52;0,24;-0,81;;20,6;Data er manuelt kontrolleret
09-01-2021 01:00:00;17,08;0,24;-0,66;;7,92;Data er manuelt kontrolleret
09-01-2021 00:30:00;19,6;0,26;-0,84;;9,33;Data er manuelt kontrolleret
09-01-2021 00:00:00;13,08;0,26;-0,72;7,39;7,63;Data er manuelt kontrolleret
08-01-2021 23:30:00;19,7;0,29;-0,58;;10,06;Data er manuelt kontrolleret
08-01-2021 23:00:00;21,92;0,27;-0,66;;9,54;Data er manuelt kontrolleret
08-01-2021 22:30:00;54,26;0,29;-0,29;;16,08;Data er manuelt kontrolleret
08-01-2021 22:00:00;51,31;0,35;-0,55;;17,14;Data er manuelt kontrolleret
08-01-2021 21:30:00;45,88;0,31;-0,75;;18,97;Data er manuelt kontrolleret
08-01-2021 21:00:00;45,88;0,33;-0,46;;15,74;Data er manuelt kontrolleret
08-01-2021 20:30:00;60,17;0,31;-0,86;;20,06;Data er manuelt kontrolleret
08-01-2021 20:00:00;57,22;0,33;-1,01;;20,29;Data er manuelt kontrolleret
08-01-2021 19:30:00;39,89;0,34;-0,98;;16,39;Data er manuelt kontrolleret
08-01-2021 19:00:00;62,18;0,35;-0,35;;24,02;Data er manuelt kontrolleret
08-01-2021 18:30:00;94,02;0,33;-0,52;;35,46;Data er manuelt kontrolleret
08-01-2021 18:00:00;82,64;0,36;-0,58;;22,78;Data er manuelt kontrolleret
08-01-2021 17:30:00;126,88;0,41;-0,23;;45,08;Data er manuelt kontrolleret
08-01-2021 17:00:00;156,02;0,41;0,17;;44,31;Data er manuelt kontrolleret
08-01-2021 16:30:00;133,22;0,37;-0,78;;52,63;Data er manuelt kontrolleret
08-01-2021 16:00:00;198,25;0,37;-0,23;;62,21;Data er manuelt kontrolleret
08-01-2021 15:30:00;158,72;0,44;0,09;;44,03;Data er manuelt kontrolleret
08-01-2021 15:00:00;265,38;0,5;0,37;;54,74;Data er manuelt kontrolleret
