Data opsamlet af Aarhus Universitet, Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>, NOx: Kvælstofoxider µg/m<sup>3</sup>, O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;NO2;O3;NOx;PM_2.5_Lvs
14-01-2021 12:00:00;7,17;45,26;8,19;;Data er manuelt kontrolleret
14-01-2021 11:30:00;10,16;42,31;12,41;;Data er manuelt kontrolleret
14-01-2021 11:00:00;8,32;43,11;10,21;;Data er manuelt kontrolleret
14-01-2021 10:30:00;8,72;41,75;10,5;;Data er manuelt kontrolleret
14-01-2021 10:00:00;9,16;40,67;10,71;;Data er manuelt kontrolleret
14-01-2021 09:30:00;8,49;41,39;9,52;;Data er manuelt kontrolleret
14-01-2021 09:00:00;7,78;42,51;9,07;;Data er manuelt kontrolleret
14-01-2021 08:30:00;8,97;42,05;9,64;;Data er manuelt kontrolleret
14-01-2021 08:00:00;9,72;41,63;13,02;;Data er manuelt kontrolleret
14-01-2021 07:30:00;11,95;39,45;17,33;;Data er manuelt kontrolleret
14-01-2021 07:00:00;8,3;42,31;9,94;;Data er manuelt kontrolleret
14-01-2021 06:30:00;8,01;42,55;10,23;;Data er manuelt kontrolleret
14-01-2021 05:30:00;4,09;44,26;5,45;;Data er manuelt kontrolleret
14-01-2021 05:00:00;3,71;44,76;4,42;;Data er manuelt kontrolleret
14-01-2021 04:30:00;3,69;44,6;4,72;;Data er manuelt kontrolleret
14-01-2021 04:00:00;3,67;44,34;4,51;;Data er manuelt kontrolleret
14-01-2021 03:30:00;3,17;44,56;4,07;;Data er manuelt kontrolleret
14-01-2021 03:00:00;2,93;;3,4;;Data er manuelt kontrolleret
14-01-2021 02:30:00;2,91;42,89;3,21;;Data er manuelt kontrolleret
14-01-2021 02:00:00;3,4;42,25;4,32;;Data er manuelt kontrolleret
14-01-2021 01:30:00;3,02;42,49;3,63;;Data er manuelt kontrolleret
14-01-2021 01:00:00;2,91;41,71;3,73;;Data er manuelt kontrolleret
14-01-2021 00:30:00;2,75;41,29;3,65;;Data er manuelt kontrolleret
14-01-2021 00:00:00;3,06;41,25;3,63;6,29;Data er manuelt kontrolleret
13-01-2021 23:30:00;3,29;39,02;4;;Data er manuelt kontrolleret
13-01-2021 23:00:00;4,26;38,86;5,07;;Data er manuelt kontrolleret
13-01-2021 22:30:00;4,28;38,76;4,67;;Data er manuelt kontrolleret
13-01-2021 22:00:00;4,84;37,92;5,51;;Data er manuelt kontrolleret
13-01-2021 21:30:00;5,47;36,38;6,31;;Data er manuelt kontrolleret
13-01-2021 21:00:00;5,28;38,28;6,45;;Data er manuelt kontrolleret
13-01-2021 20:30:00;4,86;43,81;5,81;;Data er manuelt kontrolleret
13-01-2021 20:00:00;3,77;49,93;5,07;;Data er manuelt kontrolleret
13-01-2021 19:30:00;3,73;54,96;4,46;;Data er manuelt kontrolleret
13-01-2021 19:00:00;3,94;60,53;5,24;;Data er manuelt kontrolleret
13-01-2021 18:30:00;4,09;63,02;5,09;;Data er manuelt kontrolleret
13-01-2021 18:00:00;4,42;63,54;5,55;;Data er manuelt kontrolleret
13-01-2021 17:30:00;4,9;64,78;6,33;;Data er manuelt kontrolleret
13-01-2021 17:00:00;5,83;62,78;7,15;;Data er manuelt kontrolleret
13-01-2021 16:30:00;6,62;64,08;8,4;;Data er manuelt kontrolleret
13-01-2021 16:00:00;9,77;60,03;10,88;;Data er manuelt kontrolleret
13-01-2021 15:30:00;11,13;57,56;13,73;;Data er manuelt kontrolleret
13-01-2021 15:00:00;12,83;53,94;15,24;;Data er manuelt kontrolleret
13-01-2021 14:30:00;12,3;51,77;15,34;;Data er manuelt kontrolleret
13-01-2021 14:00:00;11,15;50,27;13,71;;Data er manuelt kontrolleret
13-01-2021 13:30:00;9,22;53,07;11,74;;Data er manuelt kontrolleret
13-01-2021 13:00:00;9,35;52,11;12,03;;Data er manuelt kontrolleret
13-01-2021 12:30:00;6,06;55,32;7,61;;Data er manuelt kontrolleret
13-01-2021 12:00:00;6,43;55,98;7,76;;Data er manuelt kontrolleret
13-01-2021 11:30:00;6,69;54,2;8,91;;Data er manuelt kontrolleret
13-01-2021 11:00:00;5,93;53,82;8,26;;Data er manuelt kontrolleret
13-01-2021 10:30:00;5,37;52,81;7,25;;Data er manuelt kontrolleret
13-01-2021 10:00:00;7,44;50,09;9,96;;Data er manuelt kontrolleret
13-01-2021 09:30:00;7,8;49,59;10,06;;Data er manuelt kontrolleret
13-01-2021 09:00:00;10,48;45,02;13,27;;Data er manuelt kontrolleret
13-01-2021 08:30:00;14,4;47,4;17,19;;Data er manuelt kontrolleret
13-01-2021 08:00:00;23,52;42,85;28,25;;Data er manuelt kontrolleret
13-01-2021 07:30:00;23,54;44,76;27,1;;Data er manuelt kontrolleret
13-01-2021 07:00:00;28,04;35,86;31,52;;Data er manuelt kontrolleret
13-01-2021 06:30:00;12,93;52,91;14,11;;Data er manuelt kontrolleret
13-01-2021 06:00:00;13,71;54,24;14,8;;Data er manuelt kontrolleret
13-01-2021 05:30:00;14,29;52,13;14,94;;Data er manuelt kontrolleret
13-01-2021 04:30:00;7,32;62,63;7;;Data er manuelt kontrolleret
13-01-2021 04:00:00;1,15;71,47;1,2;;Data er manuelt kontrolleret
13-01-2021 03:30:00;0,48;74,72;0,73;;Data er manuelt kontrolleret
13-01-2021 03:00:00;0,38;73,76;0,5;;Data er manuelt kontrolleret
13-01-2021 02:30:00;0,31;74,12;0,73;;Data er manuelt kontrolleret
13-01-2021 02:00:00;0,71;;0,59;;Data er manuelt kontrolleret
13-01-2021 01:30:00;0,61;74,12;0,55;;Data er manuelt kontrolleret
13-01-2021 01:00:00;0,61;74,3;0,8;;Data er manuelt kontrolleret
13-01-2021 00:30:00;0,57;74,48;0,82;;Data er manuelt kontrolleret
13-01-2021 00:00:00;0,36;74,58;0,71;3,97;Data er manuelt kontrolleret
12-01-2021 23:30:00;0,71;73,94;1,01;;Data er manuelt kontrolleret
12-01-2021 23:00:00;0,82;74,14;1,11;;Data er manuelt kontrolleret
12-01-2021 22:30:00;1,17;74,42;1,55;;Data er manuelt kontrolleret
12-01-2021 22:00:00;1,66;73,48;2,07;;Data er manuelt kontrolleret
12-01-2021 21:30:00;1,89;73,2;2,1;;Data er manuelt kontrolleret
12-01-2021 21:00:00;1,45;73,1;1,86;;Data er manuelt kontrolleret
12-01-2021 20:30:00;2,03;72,08;2,16;;Data er manuelt kontrolleret
12-01-2021 20:00:00;2,24;71,94;2,3;;Data er manuelt kontrolleret
12-01-2021 19:30:00;3,02;70,27;3,23;;Data er manuelt kontrolleret
12-01-2021 19:00:00;2,33;71,33;2,95;;Data er manuelt kontrolleret
12-01-2021 18:30:00;3,29;70,79;3,69;;Data er manuelt kontrolleret
12-01-2021 18:00:00;3,81;70,19;4,04;;Data er manuelt kontrolleret
12-01-2021 17:30:00;3,84;70,13;4,48;;Data er manuelt kontrolleret
12-01-2021 17:00:00;5,53;69,77;6,04;;Data er manuelt kontrolleret
12-01-2021 16:30:00;5,97;69,21;6,31;;Data er manuelt kontrolleret
12-01-2021 16:00:00;5,09;70,51;5,72;;Data er manuelt kontrolleret
12-01-2021 15:30:00;5,2;70,37;5,64;;Data er manuelt kontrolleret
12-01-2021 15:00:00;6,83;69,17;7,78;;Data er manuelt kontrolleret
12-01-2021 14:30:00;5,2;72,32;6,14;;Data er manuelt kontrolleret
12-01-2021 14:00:00;6,64;69,75;8,03;;Data er manuelt kontrolleret
12-01-2021 13:30:00;6,18;70,81;7,11;;Data er manuelt kontrolleret
12-01-2021 13:00:00;6,5;70,71;7,92;;Data er manuelt kontrolleret
12-01-2021 12:30:00;6,45;70,55;8,07;;Data er manuelt kontrolleret
12-01-2021 12:00:00;8,17;63,02;10,84;;Data er manuelt kontrolleret
12-01-2021 11:30:00;7,99;65,76;10,5;;Data er manuelt kontrolleret
12-01-2021 11:00:00;10,81;62,15;14,59;;Data er manuelt kontrolleret
12-01-2021 10:30:00;10,77;61,27;13,37;;Data er manuelt kontrolleret
12-01-2021 10:00:00;12,2;59,49;14,88;;Data er manuelt kontrolleret
12-01-2021 09:30:00;12,47;58,03;15,13;;Data er manuelt kontrolleret
12-01-2021 09:00:00;18,13;51,87;22,66;;Data er manuelt kontrolleret
12-01-2021 08:30:00;18,23;54,24;21,08;;Data er manuelt kontrolleret
12-01-2021 08:00:00;17,25;54,24;19,55;;Data er manuelt kontrolleret
12-01-2021 07:30:00;13,71;56,74;15,57;;Data er manuelt kontrolleret
12-01-2021 07:00:00;12,81;59,11;14,27;;Data er manuelt kontrolleret
12-01-2021 06:30:00;16,54;53,46;18,34;;Data er manuelt kontrolleret
12-01-2021 06:00:00;12,93;58,73;14,94;;Data er manuelt kontrolleret
12-01-2021 05:30:00;5,55;66,7;5,87;;Data er manuelt kontrolleret
12-01-2021 05:00:00;3,65;68,75;3,98;;Data er manuelt kontrolleret
12-01-2021 04:30:00;4,63;63,9;5,01;;Data er manuelt kontrolleret
12-01-2021 03:30:00;3,25;63,28;3,42;;Data er manuelt kontrolleret
12-01-2021 03:00:00;2,3;65,76;1,93;;Data er manuelt kontrolleret
12-01-2021 02:30:00;1,26;69,61;1,47;;Data er manuelt kontrolleret
12-01-2021 02:00:00;1,68;69,77;1,53;;Data er manuelt kontrolleret
12-01-2021 01:30:00;1,61;71,57;1,43;;Data er manuelt kontrolleret
12-01-2021 01:00:00;1,87;;1,76;;Data er manuelt kontrolleret
12-01-2021 00:30:00;2,05;68,19;1,76;;Data er manuelt kontrolleret
12-01-2021 00:00:00;2,41;65,54;2,47;3,62;Data er manuelt kontrolleret
11-01-2021 23:30:00;3,69;61,75;3,56;;Data er manuelt kontrolleret
11-01-2021 23:00:00;3,19;70,55;3,46;;Data er manuelt kontrolleret
11-01-2021 22:30:00;2,73;79,81;2,75;;Data er manuelt kontrolleret
11-01-2021 22:00:00;1,95;83,1;2,01;;Data er manuelt kontrolleret
11-01-2021 21:30:00;2,43;81,82;2,47;;Data er manuelt kontrolleret
11-01-2021 21:00:00;2,16;80,39;2,12;;Data er manuelt kontrolleret
11-01-2021 20:30:00;2,54;80,23;2,41;;Data er manuelt kontrolleret
11-01-2021 20:00:00;2,64;74,36;2,26;;Data er manuelt kontrolleret
11-01-2021 19:30:00;2,96;72,68;3,04;;Data er manuelt kontrolleret
11-01-2021 19:00:00;3,17;72,36;3,58;;Data er manuelt kontrolleret
11-01-2021 18:30:00;3,67;73,22;4,53;;Data er manuelt kontrolleret
11-01-2021 18:00:00;3,63;72,32;4,34;;Data er manuelt kontrolleret
11-01-2021 17:30:00;5,68;68,79;6,67;;Data er manuelt kontrolleret
11-01-2021 17:00:00;6,66;66,32;7,69;;Data er manuelt kontrolleret
11-01-2021 16:30:00;6,67;67,06;8,17;;Data er manuelt kontrolleret
11-01-2021 16:00:00;6,88;66,24;7,8;;Data er manuelt kontrolleret
11-01-2021 15:30:00;7,57;65,6;8,82;;Data er manuelt kontrolleret
11-01-2021 15:00:00;9,29;64,92;11,7;;Data er manuelt kontrolleret
11-01-2021 14:30:00;8,28;67;9,87;;Data er manuelt kontrolleret
11-01-2021 14:00:00;6,77;68,41;8,47;;Data er manuelt kontrolleret
11-01-2021 13:30:00;7,1;66,64;8,93;;Data er manuelt kontrolleret
11-01-2021 13:00:00;7,06;66,08;8,97;;Data er manuelt kontrolleret
11-01-2021 12:30:00;6,31;68,23;7,82;;Data er manuelt kontrolleret
11-01-2021 12:00:00;6,64;67,91;8,51;;Data er manuelt kontrolleret
11-01-2021 11:30:00;7,54;65,28;9,45;;Data er manuelt kontrolleret
11-01-2021 11:00:00;8,47;62,15;10,81;;Data er manuelt kontrolleret
11-01-2021 10:30:00;9,54;59,37;11,63;;Data er manuelt kontrolleret
11-01-2021 10:00:00;8,61;60,27;9,66;;Data er manuelt kontrolleret
11-01-2021 09:30:00;9,91;58,73;12,28;;Data er manuelt kontrolleret
11-01-2021 09:00:00;12,28;53,8;14,65;;Data er manuelt kontrolleret
11-01-2021 08:30:00;13,75;50,81;17,16;;Data er manuelt kontrolleret
11-01-2021 08:00:00;12,72;52,77;14,4;;Data er manuelt kontrolleret
11-01-2021 07:30:00;13,14;53,29;14,97;;Data er manuelt kontrolleret
11-01-2021 07:00:00;10,81;56,88;12,89;;Data er manuelt kontrolleret
11-01-2021 06:30:00;6,77;61,47;8,24;;Data er manuelt kontrolleret
11-01-2021 05:30:00;3,61;66,38;3,71;;Data er manuelt kontrolleret
11-01-2021 05:00:00;2,87;68,17;3;;Data er manuelt kontrolleret
11-01-2021 04:30:00;2,2;67,49;2,14;;Data er manuelt kontrolleret
11-01-2021 04:00:00;2,49;64,8;2,49;;Data er manuelt kontrolleret
11-01-2021 03:30:00;2,64;65,2;2,75;;Data er manuelt kontrolleret
11-01-2021 03:00:00;2,85;;2,91;;Data er manuelt kontrolleret
11-01-2021 02:30:00;2,41;63,74;2,79;;Data er manuelt kontrolleret
11-01-2021 02:00:00;3,1;60,53;3,46;;Data er manuelt kontrolleret
11-01-2021 01:30:00;3,39;58,13;3,35;;Data er manuelt kontrolleret
11-01-2021 01:00:00;4,28;54,36;4,84;;Data er manuelt kontrolleret
11-01-2021 00:30:00;5,18;53,46;5,3;;Data er manuelt kontrolleret
11-01-2021 00:00:00;4,99;54,52;5,49;3,06;Data er manuelt kontrolleret
10-01-2021 23:30:00;5,39;53,82;5,53;;Data er manuelt kontrolleret
10-01-2021 23:00:00;6,37;51,43;6,52;;Data er manuelt kontrolleret
10-01-2021 22:30:00;7,27;50,43;8,19;;Data er manuelt kontrolleret
10-01-2021 22:00:00;8,51;48,66;9,49;;Data er manuelt kontrolleret
10-01-2021 21:30:00;8,76;49,71;9,39;;Data er manuelt kontrolleret
10-01-2021 21:00:00;8,38;50,53;8,43;;Data er manuelt kontrolleret
10-01-2021 20:30:00;9,31;50,55;9,96;;Data er manuelt kontrolleret
10-01-2021 20:00:00;10,46;48,54;11,34;;Data er manuelt kontrolleret
10-01-2021 19:30:00;11,04;49,99;11,59;;Data er manuelt kontrolleret
10-01-2021 19:00:00;15,49;43,07;16,35;;Data er manuelt kontrolleret
10-01-2021 18:30:00;9,62;58,33;10,61;;Data er manuelt kontrolleret
10-01-2021 18:00:00;10,48;58,61;11,23;;Data er manuelt kontrolleret
10-01-2021 17:30:00;9,33;58,57;10,58;;Data er manuelt kontrolleret
10-01-2021 17:00:00;9,41;54,32;10,27;;Data er manuelt kontrolleret
10-01-2021 16:30:00;9,72;55,16;11,05;;Data er manuelt kontrolleret
10-01-2021 16:00:00;10,31;55,42;12,26;;Data er manuelt kontrolleret
10-01-2021 15:30:00;9,03;57,22;10,06;;Data er manuelt kontrolleret
10-01-2021 15:00:00;10,82;55,06;12,99;;Data er manuelt kontrolleret
10-01-2021 14:30:00;10,19;58,97;11,49;;Data er manuelt kontrolleret
10-01-2021 14:00:00;5,07;66,74;5,83;;Data er manuelt kontrolleret
10-01-2021 13:30:00;5,97;64,84;6,69;;Data er manuelt kontrolleret
10-01-2021 13:00:00;5,45;66,38;6,45;;Data er manuelt kontrolleret
10-01-2021 12:30:00;6,29;62,9;7,84;;Data er manuelt kontrolleret
10-01-2021 12:00:00;7,34;63,66;9,08;;Data er manuelt kontrolleret
10-01-2021 11:30:00;6,23;64,54;7,44;;Data er manuelt kontrolleret
10-01-2021 11:00:00;9,12;61,51;10,42;;Data er manuelt kontrolleret
10-01-2021 10:30:00;7,86;65,12;9,05;;Data er manuelt kontrolleret
10-01-2021 10:00:00;6,16;68,31;6,87;;Data er manuelt kontrolleret
10-01-2021 09:30:00;5,22;69,29;5,83;;Data er manuelt kontrolleret
10-01-2021 09:00:00;4,82;63,84;5,45;;Data er manuelt kontrolleret
10-01-2021 08:30:00;4,67;57,14;5,16;;Data er manuelt kontrolleret
10-01-2021 08:00:00;3,86;55,04;4,02;;Data er manuelt kontrolleret
10-01-2021 07:30:00;3,61;53,03;3,96;;Data er manuelt kontrolleret
10-01-2021 07:00:00;3,19;50,91;3,61;;Data er manuelt kontrolleret
10-01-2021 06:30:00;3,02;51,03;3,54;;Data er manuelt kontrolleret
10-01-2021 06:00:00;2,51;48,91;2,62;;Data er manuelt kontrolleret
10-01-2021 05:30:00;2,79;46,72;2,83;;Data er manuelt kontrolleret
10-01-2021 04:30:00;1,97;38,82;2,03;;Data er manuelt kontrolleret
10-01-2021 04:00:00;2,62;34,77;3,14;;Data er manuelt kontrolleret
10-01-2021 03:30:00;2,66;33,39;3,31;;Data er manuelt kontrolleret
10-01-2021 03:00:00;2,66;32,01;3,61;;Data er manuelt kontrolleret
10-01-2021 02:30:00;3,21;30,71;4,09;;Data er manuelt kontrolleret
10-01-2021 02:00:00;3,86;;4,9;;Data er manuelt kontrolleret
10-01-2021 01:30:00;4,07;29,32;4,74;;Data er manuelt kontrolleret
10-01-2021 01:00:00;4,26;29,9;5,03;;Data er manuelt kontrolleret
10-01-2021 00:30:00;3,81;32,03;4,72;;Data er manuelt kontrolleret
10-01-2021 00:00:00;3,48;34,39;4,59;5,74;Data er manuelt kontrolleret
09-01-2021 23:30:00;3,86;34,47;4,55;;Data er manuelt kontrolleret
09-01-2021 23:00:00;4,19;33,09;5,36;;Data er manuelt kontrolleret
09-01-2021 22:30:00;5,45;32,71;6,9;;Data er manuelt kontrolleret
09-01-2021 22:00:00;7,04;33,21;9,07;;Data er manuelt kontrolleret
09-01-2021 21:30:00;4,55;36,36;5,58;;Data er manuelt kontrolleret
09-01-2021 21:00:00;3,67;37,84;5,24;;Data er manuelt kontrolleret
09-01-2021 20:30:00;3,52;38,68;4,88;;Data er manuelt kontrolleret
09-01-2021 20:00:00;5,62;39,06;7,02;;Data er manuelt kontrolleret
09-01-2021 19:30:00;6,01;38,86;7,67;;Data er manuelt kontrolleret
09-01-2021 19:00:00;10,84;30,08;12,14;;Data er manuelt kontrolleret
09-01-2021 18:30:00;14,02;25,43;16,62;;Data er manuelt kontrolleret
09-01-2021 18:00:00;15,19;23,21;17,37;;Data er manuelt kontrolleret
09-01-2021 17:30:00;10;32,23;12,43;;Data er manuelt kontrolleret
09-01-2021 17:00:00;12,89;27,76;16,08;;Data er manuelt kontrolleret
09-01-2021 16:30:00;14,44;19,98;17,79;;Data er manuelt kontrolleret
09-01-2021 16:00:00;18,11;15,83;21,76;;Data er manuelt kontrolleret
09-01-2021 15:30:00;8,91;31,39;11,59;;Data er manuelt kontrolleret
09-01-2021 15:00:00;9,89;28,06;12,01;;Data er manuelt kontrolleret
09-01-2021 14:30:00;7,75;27,32;10,02;;Data er manuelt kontrolleret
09-01-2021 14:00:00;6,02;28,04;8,13;;Data er manuelt kontrolleret
09-01-2021 13:30:00;5,83;29,92;8,24;;Data er manuelt kontrolleret
09-01-2021 13:00:00;9,87;22,97;13,27;;Data er manuelt kontrolleret
09-01-2021 12:30:00;16,26;16,4;22,82;;Data er manuelt kontrolleret
09-01-2021 12:00:00;13,52;18,72;20,04;;Data er manuelt kontrolleret
09-01-2021 11:30:00;13,08;18,6;18,67;;Data er manuelt kontrolleret
09-01-2021 11:00:00;9,89;21,11;12,24;;Data er manuelt kontrolleret
09-01-2021 10:30:00;9,75;20,66;11,84;;Data er manuelt kontrolleret
09-01-2021 10:00:00;7,71;22,57;8,91;;Data er manuelt kontrolleret
09-01-2021 09:30:00;8,11;21,71;8,97;;Data er manuelt kontrolleret
09-01-2021 09:00:00;6,73;23,37;7,82;;Data er manuelt kontrolleret
09-01-2021 08:30:00;6,14;23,81;7,27;;Data er manuelt kontrolleret
09-01-2021 08:00:00;5,18;24,53;5,74;;Data er manuelt kontrolleret
09-01-2021 07:30:00;4,84;25,31;5,41;;Data er manuelt kontrolleret
09-01-2021 07:00:00;4,32;26,3;5,36;;Data er manuelt kontrolleret
09-01-2021 06:30:00;6,12;23,53;7,44;;Data er manuelt kontrolleret
09-01-2021 06:00:00;5,39;23,95;6,58;;Data er manuelt kontrolleret
09-01-2021 05:30:00;3,67;25,92;4,3;;Data er manuelt kontrolleret
09-01-2021 05:00:00;4,02;26,74;4,82;;Data er manuelt kontrolleret
09-01-2021 04:30:00;3,58;26,98;4;;Data er manuelt kontrolleret
09-01-2021 03:30:00;3,67;28,24;4,11;;Data er manuelt kontrolleret
09-01-2021 03:00:00;3,48;28,42;4;;Data er manuelt kontrolleret
09-01-2021 02:30:00;3,19;29,1;3,48;;Data er manuelt kontrolleret
09-01-2021 02:00:00;3,39;28,4;4,11;;Data er manuelt kontrolleret
09-01-2021 01:30:00;3,82;28,38;4,17;;Data er manuelt kontrolleret
09-01-2021 01:00:00;3,94;;4,7;;Data er manuelt kontrolleret
09-01-2021 00:30:00;3,86;28,84;4,25;;Data er manuelt kontrolleret
09-01-2021 00:00:00;4,23;28,24;4,9;6,54;Data er manuelt kontrolleret
08-01-2021 23:30:00;4,32;28,24;5,22;;Data er manuelt kontrolleret
08-01-2021 23:00:00;3,82;29,96;4,51;;Data er manuelt kontrolleret
08-01-2021 22:30:00;3,65;32,19;4,32;;Data er manuelt kontrolleret
08-01-2021 22:00:00;4,59;31,27;5,43;;Data er manuelt kontrolleret
08-01-2021 21:30:00;4,28;30,69;4,82;;Data er manuelt kontrolleret
08-01-2021 21:00:00;4,21;30,16;4,88;;Data er manuelt kontrolleret
08-01-2021 20:30:00;4,09;30,65;4,9;;Data er manuelt kontrolleret
08-01-2021 20:00:00;4,44;30,67;4,82;;Data er manuelt kontrolleret
08-01-2021 19:30:00;5,47;29,76;6,27;;Data er manuelt kontrolleret
08-01-2021 19:00:00;4,78;30,97;7,29;;Data er manuelt kontrolleret
08-01-2021 18:30:00;4,92;31,09;5,79;;Data er manuelt kontrolleret
08-01-2021 18:00:00;4,7;32,17;5,58;;Data er manuelt kontrolleret
08-01-2021 17:30:00;5,41;31,73;6,25;;Data er manuelt kontrolleret
08-01-2021 17:00:00;5,91;31,79;6,56;;Data er manuelt kontrolleret
08-01-2021 16:30:00;6,46;30,79;8,4;;Data er manuelt kontrolleret
08-01-2021 16:00:00;7,86;29,48;9,1;;Data er manuelt kontrolleret
08-01-2021 15:30:00;8,93;28,64;10,42;;Data er manuelt kontrolleret
08-01-2021 15:00:00;9,08;28,38;11,17;;Data er manuelt kontrolleret
08-01-2021 14:30:00;10,25;28,64;12,35;;Data er manuelt kontrolleret
08-01-2021 14:00:00;8,95;30,45;11,15;;Data er manuelt kontrolleret
08-01-2021 13:30:00;8,03;32,31;10,08;;Data er manuelt kontrolleret
08-01-2021 13:00:00;9,41;31,73;11,84;;Data er manuelt kontrolleret
08-01-2021 12:30:00;9,6;33,09;11,86;;Data er manuelt kontrolleret
08-01-2021 12:00:00;7,38;36,18;9,35;;Data er manuelt kontrolleret
08-01-2021 11:30:00;9,1;35,68;11,97;;Data er manuelt kontrolleret
08-01-2021 11:00:00;8,72;36,4;11,07;;Data er manuelt kontrolleret
08-01-2021 10:30:00;10,25;35,16;15,32;;Data er manuelt kontrolleret
08-01-2021 10:00:00;9,87;35,5;12,3;;Data er manuelt kontrolleret
08-01-2021 09:30:00;9,16;35,46;11,13;;Data er manuelt kontrolleret
08-01-2021 09:00:00;8,93;33,59;10,86;;Data er manuelt kontrolleret
08-01-2021 08:30:00;10,16;31,13;12,26;;Data er manuelt kontrolleret
08-01-2021 08:00:00;9,98;31,57;11,88;;Data er manuelt kontrolleret
08-01-2021 07:30:00;8,55;32,83;10,06;;Data er manuelt kontrolleret
08-01-2021 07:00:00;6,75;33,85;7,65;;Data er manuelt kontrolleret
08-01-2021 06:30:00;5,62;34,79;6,87;;Data er manuelt kontrolleret
08-01-2021 05:30:00;4,53;36,7;5,22;;Data er manuelt kontrolleret
08-01-2021 05:00:00;4,15;37,26;4,4;;Data er manuelt kontrolleret
08-01-2021 04:30:00;4,36;38,44;5,03;;Data er manuelt kontrolleret
08-01-2021 04:00:00;3,79;38,78;3,79;;Data er manuelt kontrolleret
08-01-2021 03:30:00;3,84;37,52;4,09;;Data er manuelt kontrolleret
08-01-2021 02:30:00;3,61;37,88;3,92;;Data er manuelt kontrolleret
08-01-2021 02:00:00;3,84;38,76;4,28;;Data er manuelt kontrolleret
08-01-2021 01:30:00;4,15;39,38;4,34;;Data er manuelt kontrolleret
08-01-2021 01:00:00;4,36;40,05;4,63;;Data er manuelt kontrolleret
08-01-2021 00:30:00;4,21;40,03;4,53;;Data er manuelt kontrolleret
08-01-2021 00:00:00;4;40,89;4,4;5,09;Data er manuelt kontrolleret
07-01-2021 23:30:00;4,76;40,89;4,99;;Data er manuelt kontrolleret
07-01-2021 23:00:00;4,19;41,59;4,25;;Data er manuelt kontrolleret
07-01-2021 22:30:00;3,96;41,49;4,17;;Data er manuelt kontrolleret
07-01-2021 22:00:00;4,4;41,79;4,72;;Data er manuelt kontrolleret
07-01-2021 21:30:00;4,63;41,65;4,95;;Data er manuelt kontrolleret
07-01-2021 21:00:00;5,49;41,79;6,1;;Data er manuelt kontrolleret
